nohup: ignoring input
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
INFO:__main__:Запуск ETL процесса FIAS
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.025s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.028s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.024s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.033s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.025s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.041s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.037s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.022s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.024s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.041s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.040s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.050s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.027s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.032s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.028s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.028s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.029s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.037s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.033s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.033s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.032s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.023s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.030s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.058s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.022s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.028s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.014s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.014s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.024s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.022s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.022s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.042s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.022s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.026s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.022s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.046s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.082s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.014s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.031s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.024s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.036s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.028s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.031s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.025s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.026s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.025s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.027s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.028s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.027s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.028s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.031s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.022s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.028s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.043s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.035s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.062s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.043s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.023s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.031s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.031s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.025s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.036s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.022s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.110s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.020s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.040s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.051s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.023s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.030s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.023s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.045s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.033s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.036s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.022s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.014s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.018s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.027s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.029s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.015s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.025s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.031s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.021s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.032s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.023s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.017s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.038s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.031s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.025s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.023s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.032s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.027s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.029s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.034s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.031s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.023s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.027s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.033s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.037s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.031s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.028s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.016s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.019s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.024s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.024s]
INFO:elastic_transport.transport:PUT http://localhost:9200/_bulk [status:200 duration:0.024s]
INFO:__main__:Загружено документов: 300000
INFO:elastic_transport.transport:POST http://localhost:9200/fias_addresses/_refresh [status:200 duration:1.297s]
INFO:elastic_transport.transport:GET http://localhost:9200/fias_addresses/_stats [status:200 duration:0.005s]
INFO:__main__:ETL завершен успешно за 32.53 секунд
INFO:__main__:Загружено документов: 300000
✅ ETL процесс завершен успешно
